Altium Designer Pick and Place Locations
S:\Jobs\1166V10\Produce\Prints\Pick Place for 1166V10(Variant V10).csv

========================================================================================================================
File Design Information:

Date:       15.01.21
Time:       15:53
Revision:   Not in VersionControl
Variant:    Variant V10
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C522","1µF/630V","BottomLayer","2220-Cap","119.3000","60.9500","90","Capacitor (SMD)"
"C521","1µF/630V","BottomLayer","2220-Cap","53.8500","55.4000","180","Capacitor (SMD)"
"C523","1µF/630V","BottomLayer","2220-Cap","94.3000","60.8500","90","Capacitor (SMD)"
"C228","100nF","TopLayer","0603-Cap","40.6000","53.1500","270","Capacitor (SMD)"
"TP106","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","51.9000","90","PAD"
"TP105","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","54.4400","90","PAD"
"TP104","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","56.9800","90","PAD"
"TP103","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","59.5200","90","PAD"
"TP102","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","62.0600","90","PAD"
"TP101","Test-Point","TopLayer","PAD-1.0/1.8","21.1000","64.6000","90","PAD"
"D406","GB01SLT12-214","BottomLayer","DO-214_(SMB)","68.7000","18.4700","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D401","GB01SLT12-214","BottomLayer","DO-214_(SMB)","70.6000","34.0300","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D306","GB01SLT12-214","BottomLayer","DO-214_(SMB)","95.7000","18.4700","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D301","GB01SLT12-214","BottomLayer","DO-214_(SMB)","97.6000","34.1300","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D206","GB01SLT12-214","BottomLayer","DO-214_(SMB)","122.7000","18.4700","90","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"D201","GB01SLT12-214","BottomLayer","DO-214_(SMB)","127.0700","37.0000","180","Silicon Carbide Schottky Diode Vr=1200V If=1A"
"IC113","SN74LVC2G14DBV","TopLayer","SOT-23-6","17.3954","53.5475","90","Dual Inverter with Schmitt Trigger Input"
"IC111","SN74LVC2G17DBV","TopLayer","SOT-23-6","8.3954","54.5475","270","Dual Buffer with Schmitt Trigger Input"
"IC110","SN74AUP2G08DCUR","TopLayer","VSSOP-8","12.9250","54.7500","270","(VSSOP) Dual 2-Input Positive AND Gate"
"IC108","SN74LVC2G14DBV","TopLayer","SOT-23-6","17.3954","58.2475","90","Dual Inverter with Schmitt Trigger Input"
"IC107","SN74LVC2G17DBV","TopLayer","SOT-23-6","8.4954","59.2475","270","Dual Buffer with Schmitt Trigger Input"
"IC106","SN74AUP2G08DCUR","TopLayer","VSSOP-8","13.0250","59.4500","270","(VSSOP) Dual 2-Input Positive AND Gate"
"IC104","SN74LVC2G14DBV","TopLayer","SOT-23-6","17.3954","62.9475","90","Dual Inverter with Schmitt Trigger Input"
"IC103","SN74LVC2G17DBV","TopLayer","SOT-23-6","8.4954","63.9475","270","Dual Buffer with Schmitt Trigger Input"
"IC102","SN74AUP2G08DCUR","TopLayer","VSSOP-8","13.0250","64.1500","270","(VSSOP) Dual 2-Input Positive AND Gate"
"CF112","100nF","TopLayer","0603-Cap","8.5500","61.6000","180","Capacitor (SMD)"
"CF111","100nF","TopLayer","0603-Cap","8.5500","56.9000","180","Capacitor (SMD)"
"CF110","100nF","TopLayer","0603-Cap","8.4500","52.2000","180","Capacitor (SMD)"
"CF109","100nF","TopLayer","0603-Cap","13.5500","66.0000","180","Capacitor (SMD)"
"CF108","100nF","TopLayer","0603-Cap","13.5500","61.4000","180","Capacitor (SMD)"
"CF107","100nF","TopLayer","0603-Cap","13.4500","56.7000","180","Capacitor (SMD)"
"CF106","100nF","TopLayer","0603-Cap","17.5500","51.2000","360","Capacitor (SMD)"
"CF105","100nF","TopLayer","0603-Cap","17.4500","55.9000","360","Capacitor (SMD)"
